행정동_코드,예측값,실제값,오차,오차퍼센트,2023년_예측_매출_금액
11230730,340193731.2,288321123,51872608.17,0.179912618,304124850
11110515,343213251.4,255551025,87662226.35,0.343032184,351107797.5
11260600,203221813.6,180000000,23221813.57,0.129010075,180000000
11500530,282381844.2,261499155,20882689.17,0.079857578,245269782
11170660,420088276.6,393999216,26089060.57,0.0662160215,629847025.5
11380600,971069976.7,818060481,153009495.7,0.187039344,720648597
11350670,913961360.4,864263469,49697891.41,0.0575031726,1382390120
11590550,491748952.5,497958222,-6209269.512,0.0124694588,422592064.5
11710550,501565659.7,527989995,-26424335.29,0.0500470379,656210520
11740600,851259070,870955473,-19696402.98,0.0226147072,683110093.5
11230720,357901627.6,281070000,76831627.63,0.273354067,425304217.5
11200645,931355293.2,909189060,22166233.18,0.0243802243,655743286.5
11680590,2723904031,2349585636,374318394.9,0.159312514,2230002866
11740620,1638372157,1478042511,160329645.5,0.108474313,1267966721
11440590,903600600.8,793202151,110398449.8,0.139180724,1136410323
11290715,487687666.8,453080907,34606759.81,0.0763809714,431907927
11560680,393070402.1,289610064,103460338.1,0.357240134,324837693
11620765,577767038.7,650420952,-72653913.27,0.11170291,555651193.5
11620655,402386199.6,446668773,-44282573.36,0.0991396221,406195768.5
11710600,2907310672,2956431348,-49120676.37,0.0166148544,4943043162
11440630,838353977.4,934299795,-95945817.56,0.102692752,1105817886
11215780,790265115.2,720000000,70265115.17,0.0975904377,720000000
11215860,797663209.7,782138292,15524917.73,0.0198493257,837781807.5
11440600,1292719719,1346978985,-54259266.42,0.0402821922,1055075606
11110580,746696359.4,779449716,-32753356.62,0.0420211284,697295041.5
11530730,513430247.2,516519540,-3089292.834,0.0059809796,518153419.5
11260610,1328516411,1411506252,-82989841.15,0.0587952345,913761660
11650621,1540753145,1545810573,-5057427.804,0.00327169958,2336563013
11470600,399514145.6,328423692,71090453.56,0.216459577,364456083
11320522,554801574.1,546113175,8688399.141,0.0159095212,561005970
11590520,840276234.5,807596247,32679987.53,0.0404657496,871169530.5
11590660,2613975956,2590607838,23368117.74,0.00902032233,2202376097
11500590,1771645595,1789799643,-18154047.54,0.0101430613,1210994856
11170700,911154854.3,970439862,-59285007.72,0.061090862,724083742.5
11170510,778237630.4,789725100,-11487469.57,0.0145461624,673530097.5
11200660,3265413224,4051078053,-785664829.3,0.193939692,4142913777
11590670,509249249.6,453002004,56247245.62,0.124165556,388903005
11230650,1435218068,1375781370,59436697.58,0.0432021387,1132429947
11260680,1127214552,1073670816,53543736.47,0.0498697885,1363032993
11260565,1526319115,1702698852,-176379736.8,0.103588334,1962285083
11410720,1294277509,1276127388,18150121.42,0.0142228132,1284277317
11320700,729947743.9,745677174,-15729430.11,0.0210941553,766076631
11440565,1904609712,1966104822,-61495110.4,0.0312776357,3429581675
11305555,1714707227,1812653796,-97946569,0.0540349013,1304788997
11530740,795104805.3,727096149,68008656.29,0.0935346121,683023854
11530550,2094344597,2134667955,-40323357.61,0.0188897564,1891262283
11230545,2551266279,2475860553,75405725.84,0.0304563703,2515935206
11650540,2478514400,2315131047,163383352.9,0.0705719675,1768690508
11545620,1233838853,1132957653,100881200.3,0.0890423398,1682323884
11350665,726031388.7,568557492,157473896.7,0.276970929,538671849
11230740,3428015439,3417544467,10470971.71,0.00306388748,2869490994
11500611,5199074919,5249176572,-50101653.36,0.00954466909,5184481886
11740650,1778529389,1722210312,56319077.48,0.032701626,1420230663
11215750,875095094.3,839972964,35122130.28,0.0418134057,989446159.5
11320690,3981819239,3977119470,4699768.572,0.00118170163,5281954193
11200670,3884016532,3917143221,-33126689.06,0.00845684908,5305863642
11140570,1666667836,1622952822,43715014.32,0.0269354806,1571174969
11215830,1504225682,1381866105,122359576.7,0.0885466228,1019123598
11590620,3189726099,2688752985,500973114.2,0.186321732,3030905180
11380530,1033635688,1051832493,-18196804.58,0.0173000974,1050608915
11620615,2851187767,2772157881,79029885.68,0.0285084361,2086660358
11230570,1693408332,1807734684,-114326351.8,0.0632428823,1783822980
11215740,841245004.6,818861007,22383997.55,0.0273355275,688496950.5
11170685,5642425043,5083524633,558900409.8,0.109943484,3843064809
11440730,4310071096,4556159457,-246088360.7,0.0540122362,4659549089
11350630,2626251283,2576412876,49838407.43,0.0193441074,2634332789
11260620,2368186044,2325404838,42781206.16,0.0183973154,2309486195
11545640,1252771529,1218814965,33956564.4,0.0278603113,1067737577
11740640,2063448552,1998162711,65285841.46,0.0326729355,1909359408
11215760,2441311924,2462179722,-20867798.18,0.00847533508,2305067802
11500640,2198648719,1745047527,453601192.2,0.259936297,2316946434
11545630,1161679610,1128207714,33471896.48,0.0296682039,1136485683
11500593,2397229535,2509467807,-112238271.5,0.044725926,1963154141
11290575,5905092496,6191458860,-286366363.5,0.0462518398,4453918314
11380570,6049625407,7054114119,-1004488712,0.14239757,6870293436
11710646,1550458282,1521874401,28583880.57,0.0187820234,1604313047
11110550,2627208656,2706449520,-79240863.56,0.02927853,2587384608
11440585,3281093598,3221511537,59582061.08,0.0184950637,4645612361
11470540,3483315480,3432571974,50743505.62,0.01478294,2809177850
11545610,5818265280,6121168242,-302902961.7,0.0494845019,7167613928
11500591,2498584446,2613437106,-114852660.4,0.043946977,2791860464
11500510,1917437408,1834610340,82827068.44,0.0451469539,1341643197
11710641,1231876050,1225558545,6317505.051,0.00515479662,1652316030
11740580,1207508868,1150226373,57282494.86,0.049801062,1102173105
11560700,1586931855,1597918875,-10987019.52,0.00687583061,1277061803
11440610,1771650693,1551371028,220279664.6,0.141990317,1526008367
11170625,1.26E+10,10591535667,1994028264,0.188266209,1.38E+10
11140580,2042982627,2063111250,-20128623.07,0.00975644094,1956770840
11620595,5490740166,5845826817,-355086651,0.0607419039,5408493155
11470680,1749998159,1811565045,-61566885.74,0.0339854679,1773352031
11560560,2309809386,2104225989,205583397.2,0.0977002462,2031845567
11260575,1994994439,2009617236,-14622797.2,0.00727640913,2066172248
11320680,2338175020,2379776349,-41601328.85,0.0174811927,2284535525
11530560,6182894305,6458630772,-275736467,0.0426927125,8184092147
11230610,1210798300,1104579987,106218313.5,0.0961617219,972667840.5
11230705,1384937208,1326396603,58540604.63,0.0441350683,1783036694
11350640,7299477176,7470639924,-171162748.5,0.0229113905,7158842333
11710610,2522470092,2456301147,66168945.23,0.0269384498,2584054172
11650590,3098115866,2926454865,171661000.9,0.0586583456,3819029618
11560630,1853095837,1578783642,274312195.1,0.173749074,1352779716
11170555,6663154451,6863033688,-199879237.3,0.0291240356,4951764570
11110650,1.05E+10,10741635666,-211611075.7,0.0197000794,7728531161
11680565,6390342456,5087453757,1302888699,0.256098387,4572480677
11380625,6688939955,6391002324,297937631.4,0.046618295,8094104973
11290810,5477985302,5129203602,348781700.3,0.067999192,5132407161
11650581,7379877959,6614625510,765252448.7,0.115690971,7107796626
11380580,6360885545,6108357606,252527939.2,0.041341381,4249263657
11350695,3914587275,3766575150,148012125.1,0.0392962092,4527415049
11590630,3820074653,3708602115,111472537.7,0.0300578316,4012258220
11650510,7715648408,7939513257,-223864848.7,0.0281962938,8062651488
11500615,2997591734,3030074463,-32482728.7,0.0107201091,4277973305
11200615,2202650234,2081538102,121112132.3,0.0581839613,2353965308
11290780,1301965228,1110415458,191549769.7,0.172502795,894585469.5
11260590,5149393660,4886776536,262617123.9,0.0537403587,3586399973
11710580,9348929401,9830022531,-481093130.1,0.0489412032,12635924913
11650652,8540205532,8946296955,-406091423.4,0.0453921243,7512564888
11740570,2575569734,2574276252,1293481.596,0.000502464176,2049924449
11680700,2250619108,2119980552,130638555.9,0.0616225256,2252506977
11560605,6018046789,5836194111,181852678.2,0.0311594636,5879814665
11305535,3087843568,3215964495,-128120926.9,0.0398390365,4513561365
11230560,5421966978,5367552486,54414491.96,0.010137673,4516391996
11260655,4186813783,4034954751,151859032.2,0.0376358699,3709683311
11545710,1583204925,1614109146,-30904220.86,0.0191463018,1345081658
11290525,3082916386,3149255493,-66339107.01,0.0210650127,2601870599
11680655,2724036014,2462263242,261772771.7,0.106313885,2308903214
11230660,6561842158,6596615493,-34773335.17,0.00527139034,5253103347
11470620,2543968567,2522067309,21901257.97,0.00868385149,1747924916
11530780,2945787536,2981216898,-35429362.26,0.0118841948,2555160053
11545670,5782910818,5938657587,-155746768.5,0.0262259216,7694661153
11350621,1499445282,1373869845,125575436.8,0.0914027171,1134527505
11110600,5007303193,5342960730,-335657537,0.0628223852,4600800890
11710510,1594238714,1553222259,41016455.06,0.0264073315,1095085596
11230710,5633766794,5788314462,-154547667.8,0.0266999433,5836341123
11710562,7177537513,7042778631,134758882.2,0.0191343345,6624153504
11680521,1.11E+10,13192734591,-2127238114,0.161243152,11200095315
11290725,8397085135,9003064740,-605979604.6,0.067308147,8606410634
11500570,2589953974,2603969991,-14016017.27,0.00538255714,2348036277
11710642,1.72E+10,21300074952,-4062017321,0.190704367,19790599281
11590650,2073252054,2152408380,-79156326.23,0.0367757006,2544122106
11410565,5999365194,6170850393,-171485198.8,0.027789557,4974454685
11350619,3800679060,4031849583,-231170522.9,0.057336098,2945895300
11350600,1.09E+10,1.30E+10,-2077011317,0.160096452,10812788334
11290705,3878887165,3745372821,133514343.8,0.0356478114,3200277684
11560535,1.49E+10,1.40E+10,866320318.3,0.0617173534,13402981008
11140590,5612391925,5350608957,261782968.4,0.048925827,4061003048
11590530,9075318451,10061325501,-986007049.6,0.0979997168,8394942461
11110640,8107764639,8157513024,-49748384.78,0.00609847445,5908860546
11710670,3078872788,2821220010,257652778,0.0913267229,2239959371
11740660,9583926061,9762129498,-178203437.1,0.018254566,9932319923
11410620,3723699255,3637378605,86320649.57,0.0237315548,4772305482
11170630,3657167338,3642221325,14946012.95,0.00410354331,2853008093
11290600,1.15E+10,1.19E+10,-392001373.4,0.0328323107,9770298846
11620665,5174543648,5373040986,-198497337.6,0.0369432018,4469849880
11530720,6014690328,5993781315,20909012.59,0.00348845103,4912660709
11530510,6047901605,5828759847,219141757.7,0.0375966352,6095121290
11470530,3461039227,3106526673,354512553.7,0.114118625,3130502315
11530750,3193319423,2517552687,675766735.9,0.268422083,2465256882
11590605,5903340112,5934364350,-31024237.72,0.00522789568,5975271552
11290555,6752673573,6865393947,-112720374,0.0164186316,6177833607
11710531,3615410765,3658955904,-43545138.76,0.0119009739,3255021146
11710710,1.56E+10,1.57E+10,-103968934.8,0.00662315323,11106787866
11410585,2.98E+10,35261397705,-5506974303,0.156175724,24047838819
11320515,5026933798,5015897424,11036374.35,0.00220027912,3570054759
11110630,7095523049,7215951942,-120428893.1,0.0166892593,8328422385
11200550,1.39E+10,1.51E+10,-1182647675,0.0784993512,1.06E+10
11740540,5252999395,5359175316,-106175921.4,0.0198119888,5167465593
11440690,1.01E+10,1.00E+10,97566227.13,0.00974541549,8545146111
11215710,2.01E+10,2.19E+10,-1733508221,0.0792319642,2.12E+10
11140650,3992408109,3942532425,49875684.16,0.0126506719,3444696498
11200570,3504093040,3243059811,261033229.5,0.0804897981,4739346584
11290685,4084386142,3992993352,91392790.44,0.0228882902,3629828490
11320511,4931376696,5045329182,-113952485.7,0.0225857385,4873737930
11590510,1.64E+10,1.79E+10,-1485773580,0.0828874199,15982617144
11470650,1.06E+10,10864112310,-270615072.9,0.0249090828,9687782234
11650600,7813087074,8205212529,-392125455.4,0.0477897987,6879472758
11380552,1.10E+10,1.14E+10,-385481793,0.0337177714,9948409350
11740530,1.23E+10,13135930866,-787387811,0.0599415313,9976741182
11545510,2.72E+10,28400633559,-1208410669,0.0425487222,29041993287
11440740,2.46E+10,2.86E+10,-4015421342,0.14044207,25079329152
